Instance,StrategyType,Call1,Put2,Call2,Put1,SingleOrderLot,MaxPositionLot,Spread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,SymbolName,StrikePrice,Expiry
1,9,39111,51541,51540,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2600000,NEXT_MONTH
1,10,39111,51541,51540,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2600000,NEXT_MONTH
1,9,39111,51548,51547,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2610000,NEXT_MONTH
1,10,39111,51548,51547,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2610000,NEXT_MONTH
1,9,39111,51566,51562,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2620000,NEXT_MONTH
1,10,39111,51566,51562,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2620000,NEXT_MONTH
1,9,39111,51568,51567,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2630000,NEXT_MONTH
1,10,39111,51568,51567,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2630000,NEXT_MONTH
1,9,39111,51570,51569,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2640000,NEXT_MONTH
1,10,39111,51570,51569,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2640000,NEXT_MONTH
1,9,39111,51572,51571,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2650000,NEXT_MONTH
1,10,39111,51572,51571,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2650000,NEXT_MONTH
1,9,39111,51581,51573,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2660000,NEXT_MONTH
1,10,39111,51581,51573,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2660000,NEXT_MONTH
1,9,39111,51587,51586,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2670000,NEXT_MONTH
1,10,39111,51587,51586,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2670000,NEXT_MONTH
1,9,39111,51679,51646,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2680000,NEXT_MONTH
1,10,39111,51679,51646,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2680000,NEXT_MONTH
1,9,39111,51685,51684,39113,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2690000,NEXT_MONTH
1,10,39111,51685,51684,39113,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2690000,NEXT_MONTH
1,9,46128,51541,51540,46129,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2600000,NEXT_MONTH
1,10,46128,51541,51540,46129,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2600000,NEXT_MONTH
1,9,46128,51548,51547,46129,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2610000,NEXT_MONTH
1,10,46128,51548,51547,46129,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2610000,NEXT_MONTH
1,9,46128,51566,51562,46129,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2620000,NEXT_MONTH
1,10,46128,51566,51562,46129,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2620000,NEXT_MONTH
1,9,46128,51568,51567,46129,1,1,-1,0,0,-1,0,0,0,0,0,BANKNIFTY,2630000,NEXT_MONTH
1,10,46128,51568,51567,46129,1,1,2,0,0,2,0,0,0,0,0,BANKNIFTY,2630000,NEXT_MONTH
