Instance,StratType,Token1,Token2,Token3,SingleOrderLot,MaxPositionLot,TokenWiseSpread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,PortName
1,1,39666,37822,37821,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22500 (C)
1,2,39666,37822,37821,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22500 (R)
1,1,39666,37827,37823,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22600 (C)
1,2,39666,37827,37823,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22600 (R)
1,1,39666,49458,49445,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22700 (C)
1,2,39666,49458,49445,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22700 (R)
1,1,39666,49462,49459,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22800 (C)
1,2,39666,49462,49459,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22800 (R)
1,1,39666,49468,49467,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22900 (C)
1,2,39666,49468,49467,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-22900 (R)
1,1,39666,49474,49469,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23000 (C)
1,2,39666,49474,49469,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23000 (R)
1,1,39666,49479,49475,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23100 (C)
1,2,39666,49479,49475,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23100 (R)
1,1,39666,49484,49480,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23200 (C)
1,2,39666,49484,49480,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23200 (R)
1,1,39666,49498,49485,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23300 (C)
1,2,39666,49498,49485,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23300 (R)
1,1,39666,49504,49499,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23400 (C)
1,2,39666,49504,49499,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23400 (R)
1,1,39666,49517,49505,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23500 (C)
1,2,39666,49517,49505,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23500 (R)
1,1,39666,49520,49518,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23600 (C)
1,2,39666,49520,49518,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23600 (R)
1,1,39666,49527,49525,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23700 (C)
1,2,39666,49527,49525,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-23700 (R)
