Instance,StratType,Token1,Token2,Token3,SingleOrderLot,MaxPositionLot,Spread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,SymbolName,StrikePrice,Expiry
64,1,52512,62666,62665,1,1,2,0,0,0,0,0,0,0,0,DLF,8500,NEXT_MONTH
64,2,52512,62666,62665,1,1,2,0,0,0,0,0,0,0,0,DLF,8500,NEXT_MONTH
64,1,52512,62668,62667,1,1,2,0,0,0,0,0,0,0,0,DLF,9000,NEXT_MONTH
64,2,52512,62668,62667,1,1,2,0,0,0,0,0,0,0,0,DLF,9000,NEXT_MONTH
64,1,52512,62670,62669,1,1,2,0,0,0,0,0,0,0,0,DLF,9500,NEXT_MONTH
64,2,52512,62670,62669,1,1,2,0,0,0,0,0,0,0,0,DLF,9500,NEXT_MONTH
64,1,52512,62672,62671,1,1,2,0,0,0,0,0,0,0,0,DLF,10000,NEXT_MONTH
64,2,52512,62672,62671,1,1,2,0,0,0,0,0,0,0,0,DLF,10000,NEXT_MONTH
64,1,52512,62674,62673,1,1,2,0,0,0,0,0,0,0,0,DLF,10500,NEXT_MONTH
64,2,52512,62674,62673,1,1,2,0,0,0,0,0,0,0,0,DLF,10500,NEXT_MONTH
64,1,52512,62676,62675,1,1,2,0,0,0,0,0,0,0,0,DLF,11000,NEXT_MONTH
64,2,52512,62676,62675,1,1,2,0,0,0,0,0,0,0,0,DLF,11000,NEXT_MONTH
64,1,52512,62678,62677,1,1,2,0,0,0,0,0,0,0,0,DLF,11500,NEXT_MONTH
64,2,52512,62678,62677,1,1,2,0,0,0,0,0,0,0,0,DLF,11500,NEXT_MONTH
64,1,52512,62680,62679,1,1,2,0,0,0,0,0,0,0,0,DLF,12000,NEXT_MONTH
64,2,52512,62680,62679,1,1,2,0,0,0,0,0,0,0,0,DLF,12000,NEXT_MONTH
64,1,52512,62682,62681,1,1,2,0,0,0,0,0,0,0,0,DLF,12500,NEXT_MONTH
64,2,52512,62682,62681,1,1,2,0,0,0,0,0,0,0,0,DLF,12500,NEXT_MONTH
64,1,52512,62684,62683,1,1,2,0,0,0,0,0,0,0,0,DLF,13000,NEXT_MONTH
64,2,52512,62684,62683,1,1,2,0,0,0,0,0,0,0,0,DLF,13000,NEXT_MONTH
64,1,52512,62686,62685,1,1,2,0,0,0,0,0,0,0,0,DLF,13500,NEXT_MONTH
64,2,52512,62686,62685,1,1,2,0,0,0,0,0,0,0,0,DLF,13500,NEXT_MONTH
64,1,52512,62688,62687,1,1,2,0,0,0,0,0,0,0,0,DLF,14000,NEXT_MONTH
64,2,52512,62688,62687,1,1,2,0,0,0,0,0,0,0,0,DLF,14000,NEXT_MONTH
64,1,52512,62690,62689,1,1,2,0,0,0,0,0,0,0,0,DLF,14500,NEXT_MONTH
64,2,52512,62690,62689,1,1,2,0,0,0,0,0,0,0,0,DLF,14500,NEXT_MONTH
64,1,52512,62692,62691,1,1,2,0,0,0,0,0,0,0,0,DLF,15000,NEXT_MONTH
64,2,52512,62692,62691,1,1,2,0,0,0,0,0,0,0,0,DLF,15000,NEXT_MONTH
64,1,52512,62694,62693,1,1,2,0,0,0,0,0,0,0,0,DLF,15500,NEXT_MONTH
64,2,52512,62694,62693,1,1,2,0,0,0,0,0,0,0,0,DLF,15500,NEXT_MONTH
64,1,52512,62696,62695,1,1,2,0,0,0,0,0,0,0,0,DLF,16000,NEXT_MONTH
64,2,52512,62696,62695,1,1,2,0,0,0,0,0,0,0,0,DLF,16000,NEXT_MONTH
64,1,52512,62698,62697,1,1,2,0,0,0,0,0,0,0,0,DLF,16500,NEXT_MONTH
64,2,52512,62698,62697,1,1,2,0,0,0,0,0,0,0,0,DLF,16500,NEXT_MONTH
64,1,52512,62700,62699,1,1,2,0,0,0,0,0,0,0,0,DLF,17000,NEXT_MONTH
64,2,52512,62700,62699,1,1,2,0,0,0,0,0,0,0,0,DLF,17000,NEXT_MONTH
64,1,52512,62702,62701,1,1,2,0,0,0,0,0,0,0,0,DLF,17500,NEXT_MONTH
64,2,52512,62702,62701,1,1,2,0,0,0,0,0,0,0,0,DLF,17500,NEXT_MONTH
64,1,52512,62704,62703,1,1,2,0,0,0,0,0,0,0,0,DLF,18000,NEXT_MONTH
64,2,52512,62704,62703,1,1,2,0,0,0,0,0,0,0,0,DLF,18000,NEXT_MONTH
64,1,52512,62706,62705,1,1,2,0,0,0,0,0,0,0,0,DLF,18500,NEXT_MONTH
64,2,52512,62706,62705,1,1,2,0,0,0,0,0,0,0,0,DLF,18500,NEXT_MONTH
64,1,52512,62934,62933,1,1,2,0,0,0,0,0,0,0,0,DLF,19000,NEXT_MONTH
64,2,52512,62934,62933,1,1,2,0,0,0,0,0,0,0,0,DLF,19000,NEXT_MONTH
64,1,52512,62936,62935,1,1,2,0,0,0,0,0,0,0,0,DLF,19500,NEXT_MONTH
64,2,52512,62936,62935,1,1,2,0,0,0,0,0,0,0,0,DLF,19500,NEXT_MONTH
64,1,52512,62938,62937,1,1,2,0,0,0,0,0,0,0,0,DLF,20000,NEXT_MONTH
64,2,52512,62938,62937,1,1,2,0,0,0,0,0,0,0,0,DLF,20000,NEXT_MONTH
64,1,52512,62940,62939,1,1,2,0,0,0,0,0,0,0,0,DLF,20500,NEXT_MONTH
64,2,52512,62940,62939,1,1,2,0,0,0,0,0,0,0,0,DLF,20500,NEXT_MONTH
64,1,52512,62942,62941,1,1,2,0,0,0,0,0,0,0,0,DLF,21000,NEXT_MONTH
64,2,52512,62942,62941,1,1,2,0,0,0,0,0,0,0,0,DLF,21000,NEXT_MONTH
64,1,52512,62944,62943,1,1,2,0,0,0,0,0,0,0,0,DLF,21500,NEXT_MONTH
64,2,52512,62944,62943,1,1,2,0,0,0,0,0,0,0,0,DLF,21500,NEXT_MONTH
64,1,52512,62946,62945,1,1,2,0,0,0,0,0,0,0,0,DLF,22000,NEXT_MONTH
64,2,52512,62946,62945,1,1,2,0,0,0,0,0,0,0,0,DLF,22000,NEXT_MONTH
64,1,52512,62948,62947,1,1,2,0,0,0,0,0,0,0,0,DLF,22500,NEXT_MONTH
64,2,52512,62948,62947,1,1,2,0,0,0,0,0,0,0,0,DLF,22500,NEXT_MONTH
64,1,52512,62950,62949,1,1,2,0,0,0,0,0,0,0,0,DLF,23000,NEXT_MONTH
64,2,52512,62950,62949,1,1,2,0,0,0,0,0,0,0,0,DLF,23000,NEXT_MONTH
64,1,52512,62952,62951,1,1,2,0,0,0,0,0,0,0,0,DLF,23500,NEXT_MONTH
64,2,52512,62952,62951,1,1,2,0,0,0,0,0,0,0,0,DLF,23500,NEXT_MONTH
64,1,52512,62954,62953,1,1,2,0,0,0,0,0,0,0,0,DLF,24000,NEXT_MONTH
64,2,52512,62954,62953,1,1,2,0,0,0,0,0,0,0,0,DLF,24000,NEXT_MONTH
64,1,52512,62956,62955,1,1,2,0,0,0,0,0,0,0,0,DLF,24500,NEXT_MONTH
64,2,52512,62956,62955,1,1,2,0,0,0,0,0,0,0,0,DLF,24500,NEXT_MONTH
64,1,52512,36388,36387,1,1,2,0,0,0,0,0,0,0,0,DLF,25000,NEXT_MONTH
64,2,52512,36388,36387,1,1,2,0,0,0,0,0,0,0,0,DLF,25000,NEXT_MONTH
64,1,52512,36390,36389,1,1,2,0,0,0,0,0,0,0,0,DLF,25500,NEXT_MONTH
64,2,52512,36390,36389,1,1,2,0,0,0,0,0,0,0,0,DLF,25500,NEXT_MONTH
64,1,52512,43402,43399,1,1,2,0,0,0,0,0,0,0,0,DLF,26000,NEXT_MONTH
64,2,52512,43402,43399,1,1,2,0,0,0,0,0,0,0,0,DLF,26000,NEXT_MONTH
64,1,52512,43408,43407,1,1,2,0,0,0,0,0,0,0,0,DLF,26500,NEXT_MONTH
64,2,52512,43408,43407,1,1,2,0,0,0,0,0,0,0,0,DLF,26500,NEXT_MONTH
64,1,52512,43414,43413,1,1,2,0,0,0,0,0,0,0,0,DLF,27000,NEXT_MONTH
64,2,52512,43414,43413,1,1,2,0,0,0,0,0,0,0,0,DLF,27000,NEXT_MONTH
64,1,52512,47287,47171,1,1,2,0,0,0,0,0,0,0,0,DLF,27500,NEXT_MONTH
64,2,52512,47287,47171,1,1,2,0,0,0,0,0,0,0,0,DLF,27500,NEXT_MONTH
64,1,52512,47313,47297,1,1,2,0,0,0,0,0,0,0,0,DLF,28000,NEXT_MONTH
64,2,52512,47313,47297,1,1,2,0,0,0,0,0,0,0,0,DLF,28000,NEXT_MONTH
64,1,52513,77042,77041,1,1,2,0,0,0,0,0,0,0,0,DRREDDY,150000,NEXT_MONTH
